playlist_name,track_playlist,recommendation,hit_number,hit_track
ski,"Who Are You by The Who, Caroline by Aminé, Money by Pink Floyd, Baba O'Riley by The Who, You & Me by Marc E. Bassy, Mr. Blue Sky by Electric Light Orchestra, If It Means a Lot to You by A Day To Remember, Closer by The Chainsmokers, The Judge by Twenty One Pilots, The Downfall of Us All by A Day To Remember, Sober by Childish Gambino, Back To Back by Drake, Free Bird by Lynyrd Skynyrd, My Girl by The Temptations","Baba O'Riley by The Who, If It Means a Lot to You by A Day To Remember, Paris by The Chainsmokers, Take Me Home, Country Roads by John Denver, Wish You Were Here by Pink Floyd, Fast Car by Tracy Chapman, I Lived by OneRepublic, Dog Days Are Over by Florence + The Machine, Renegades by X Ambassadors, The Sound of Silence by Disturbed",2,"Baba O'Riley by The Who, If It Means a Lot to You by A Day To Remember"
Christmas ,"Pennies From Heaven by Louis Prima, Have Yourself A Merry Little Christmas by Madeleine Peyroux, Winter Wonderland by Neil Diamond, It Came Upon a Midnight Clear by Josh Groban, Christmas (Baby Please Come Home) by Mariah Carey, Santa Claus Is Coming To Town by The Jackson 5, Winter Wonderland by Vanessa Hudgens, Peace by Norah Jones, Blue Christmas by Elvis Presley, Feliz Navidad by Céline Dion, Have Yourself a Merry Little Christmas by Relient K, Sleigh Ride by Relient K, Feliz Navidad by David Crowder Band, Do You Hear What I Hear? by Phillips, Craig & Dean, Little Drummer Boy by Jonathan Butler, O Holy Night by Jonathan Butler, White Christmas by Sidewalk Prophets, Have Yourself a Merry Little Christmas by Sidewalk Prophets, Winter Wonderland by Andre Miguel Mayo, Have Yourself a Merry Little Christmas by Christina Aguilera, I'll Be Home for Christmas by Kelly Clarkson, Jingle Bell Rock by The Festive Singers, Rockin' Around The Christmas Tree by Amy Grant, Do You Hear What I Hear? by Anthem Lights, It Came Upon A Midnight Clear by Kutless, Silver Bells by Rhett Walker Band, It's The Most Wonderful Time Of The Year by City Harbor, Have Yourself a Merry Little Christmas by Relient K, We Wish You a Merry Christmas by Relient K, Do You Hear What I Hear by Carrie Underwood, Winter Wonderland by Darius Rucker, Christmas (Baby Please Come Home) by Hanson, White Christmas by Hanson, Rockin' Around The Christmas Tree by Hanson, Joy to the World by The Hanson Family Singers, O Holy Night by Pentatonix, O Holy Night by Shane & Shane, Born To Die by Shane & Shane, Silent Night by Shane & Shane, White Christmas by Shane & Shane, Holiday by Shane & Shane","Winter Wonderland by Tony Bennett, Have Yourself a Merry Little Christmas by Frank Sinatra, It's Beginning to Look a Lot Like Christmas by Michael Bublé, Mistletoe by Justin Bieber, Underneath the Tree by Kelly Clarkson, Christmas Lights by Coldplay, Santa Tell Me by Ariana Grande, Silent Night by Pentatonix, Joy to the World by Nat King Cole, Peace on Earth/Little Drummer Boy by Bing Crosby & David Bowie",0,
car2,"Dynamite by Taio Cruz, Down by Jay Sean, In My Head by Jason Derulo, Replay by Iyaz, Break Your Heart by Taio Cruz, Starving by Hailee Steinfeld, Back Home by Andy Grammer, Sour Patch Kids by Bryce Vine, Touch by Little Mix, Black Magic by Little Mix, Down by Fifth Harmony, Worth It by Fifth Harmony, BO$$ by Fifth Harmony, The One That Got Away by Katy Perry, Love You Like A Love Song by Selena Gomez & The Scene, Come & Get It by Selena Gomez, Hot N Cold by Katy Perry, This Is How We Do by Katy Perry, Bang Bang by Jessie J, Side To Side by Ariana Grande, Poker Face by Lady Gaga, Timber by Pitbull, Party In The U.S.A. by Miley Cyrus, The Story Of Us by Taylor Swift, That's What I Like by Bruno Mars, Time of Our Lives by Pitbull, Ready or Not by Bridgit Mendler, The Man by Aloe Blacc, Young by The Chainsmokers, Brokenhearted by Kalin and Myles, Stitches by Shawn Mendes, Stay (with Alessia Cara) by Zedd, Me Too by Meghan Trainor, All About That Bass by Meghan Trainor, Mom by Meghan Trainor, Royals by Lorde, Geronimo by Sheppard, Some Nights by fun., Hide Away by Daya, Trumpets by Jason Derulo, So What by P!nk, Bad Influence by P!nk, Tonight Tonight by Hot Chelle Rae, What the Hell by Avril Lavigne, No Ceiling by Cody Simpson, Love You Like A Love Song by Selena Gomez & The Scene, Catch My Breath by Kelly Clarkson, Brokenhearted by Karmin, Sooner Or Later by Aaron Carter, Location by Khalid, Love So Soft by Kelly Clarkson, Fuck You by CeeLo Green, Stay Stay Stay by Taylor Swift, Mama by Jonas Blue, Marry Me by Jason Derulo, No Fear by DeJ Loaf","Roar by Katy Perry, Dynamite by Taio Cruz, Work from Home by Fifth Harmony, Firework by Katy Perry, Life is a Highway by Rascal Flatts, Shake It Off by Taylor Swift, Can't Stop the Feeling! by Justin Timberlake, Feel Again by OneRepublic, Play It Again by Luke Bryan, Stronger (What Doesn't Kill You) by Kelly Clarkson",1,Dynamite by Taio Cruz
2015,"Hero by Family of the Year, Good Thing by Sam Smith, Say You Love Me by Jessie Ware, Where Are You Now by Mumford & Sons, Crazy Love by Van Morrison, Breathe by Alexi Murdoch, The Past And Pending by The Shins, Some Nights by Tyler Ward, Timshel by Mumford & Sons, Rivers And Roads by The Head and the Heart, Just Breathe by Willie Nelson, Hello My Old Heart by The Oh Hellos, Here by Alessia Cara, Do You Remember by Jarryd James","I Will Wait by Mumford & Sons, New Slang by The Shins, Into The Mystic by Van Morrison, Someone New by Hozier, Ho Hey by The Lumineers, Banana Pancakes by Jack Johnson, Cherry Wine by Hozier, Simple Song by The Shins, Crazy Love by Van Morrison, Redemption Song by Bob Marley & The Wailers",1,Crazy Love by Van Morrison
Grindin ,"Started From the Bottom by Drake, Shining by DJ Khaled, Hustlin' by Rick Ross, Unforgettable by French Montana, Come Down by WSTRN, Gone by Afrojack, Magnificent by Rick Ross, Bitch Better Have My Money by Rihanna, Let Me Blow Ya Mind by Eve, Rich Girl by Gwen Stefani, Nobody by PARTYNEXTDOOR, Fire by Louis The Child, Down In the DM by Yo Gotti, Here I Am by Rick Ross","Work by Rihanna, God's Plan by Drake, Hustlin by Rick Ross, Eye of the Tiger by Survivor, Can't Hold Us by Macklemore & Ryan Lewis, Buffalo Soldier by Bob Marley & The Wailers, Stronger by Kanye West, Lose Yourself by Eminem, The Champion by Carrie Underwood feat. Ludacris, Started From the Bottom by Drake",1,Started From the Bottom by Drake
'Merica,"Dreaming with My Eyes Open by Clay Walker, This Woman And This Man by Clay Walker, Fall by Clay Walker, Let Me Down Easy by Billy Currington, Wanted by Hunter Hayes, What A Beautiful Day by Chris Cagle, Over You by Miranda Lambert, Silver Wings by Merle Haggard, Time Is Love by Josh Turner, I Got A Feelin' by Billy Currington, Brass Bed by Josh Gracin, Thinking Of You by Dierks Bentley, She's Actin' Single (I'm Drinkin' Doubles) by Ronnie Dunn, Keep Them Kisses Comin' by Craig Campbell, Whiskey by Jana Kramer, I Believe by George Strait, In Color by Jamey Johnson, Overnight Success by Zane Williams, Can't Get Away from a Good Time by Logan Mize, Taste by Josh Abbott Band, Say You Do by Dierks Bentley, Fire Away by Chris Stapleton, Traveller by Chris Stapleton, What Are You Listening To? by Chris Stapleton, Touch by Josh Abbott Band, Shut Up And Fish by Maddie & Tae, Circles by Jana Kramer, Never Had A Reason by Josh Turner, Mercy by Brett Young","Tennessee Whiskey by Chris Stapleton, Long Black Train by Josh Turner, Hypothetically by Clay Walker, Travelin' Soldier by Dixie Chicks, Bless The Broken Road by Rascal Flatts, The House That Built Me by Miranda Lambert, Take Me Home, Country Roads by John Denver, Wagon Wheel by Old Crow Medicine Show, Highway 20 Ride by Zac Brown Band, Redemption Day by Johnny Cash",0,
Christmas Music ,"Santa Claus Is Coming To Town by Michael Bublé, Have Yourself A Merry Little Christmas by Michael Bublé, Christmas (Baby Please Come Home) by Michael Bublé, Silent Night by Michael Bublé, Blue Christmas by Michael Bublé, I'll Be Home For Christmas by Michael Bublé, Ave Maria by Michael Bublé, Silent Night by Mariah Carey, O Holy Night by Mariah Carey, Christmas (Baby Please Come Home) by Mariah Carey, Joy to the World by Mariah Carey, Santa Claus Is Comin' to Town by Mariah Carey, Have Yourself a Merry Little Christmas by Frank Sinatra, Santa Claus Is Comin' to Town by Frank Sinatra, Let It Snow! Let It Snow! Let It Snow! by Frank Sinatra, Introduction by Frank Sinatra, Medley by Frank Sinatra, Ave Maria by Frank Sinatra, Winter Wonderland by Frank Sinatra, Greensleeves by Vince Guaraldi Trio, Thanksgiving Theme by Vince Guaraldi Trio, Where Are You Christmas by The Piano Guys, Silent Night by The Piano Guys, I'll Be Home For Christmas by Gene Harris, Have Yourself A Merry Little Christmas by Scott Hamilton, O Holy Night by Hank Crawford, White Christmas by Oscar Peterson, Greensleeves by Coleman Hawkins, I'll Be Home For Christmas by Curtis Peagler","It's Beginning to Look a Lot Like Christmas by Michael Bublé, All I Want for Christmas Is You by Mariah Carey, Let It Snow! Let It Snow! Let It Snow! by Frank Sinatra, Have Yourself a Merry Little Christmas by Michael Bublé, Santa Claus Is Coming to Town by Mariah Carey, Jingle Bells by Frank Sinatra, Christmas (Baby Please Come Home) by Mariah Carey, White Christmas by Michael Bublé, The Christmas Song by Frank Sinatra, Silent Night by Mariah Carey",3,"Silent Night by Mariah Carey, Christmas (Baby Please Come Home) by Mariah Carey, Let It Snow! Let It Snow! Let It Snow! by Frank Sinatra"
feels,"Let It Go by James Bay, All of Me by John Legend, Someone Like You by Adele, How to Save a Life by The Fray, Chasing Cars by Snow Patrol, Hurricane by Bridgit Mendler, Say Something by A Great Big World, Breakeven by The Script, Fly by Nicki Minaj, Pills N Potions by Nicki Minaj, Bubbly by Colbie Caillat, From the Ground Up by Dan + Shay, Stay With Me by Sam Smith, In the Name of Love by Martin Garrix, Photograph by Ed Sheeran, Gone, Gone, Gone by Phillip Phillips, Home by Phillip Phillips, Apologize by OneRepublic, I Lived by OneRepublic, Take Me To Church by Hozier, Life Of The Party by Shawn Mendes, All Time Low by Jon Bellion, Mercy by Shawn Mendes, Upside Down by Jack Johnson, My Girl by The Temptations, Heart's Content by Brandi Carlile, Home by Edward Sharpe & The Magnetic Zeros, Work Song by Hozier, Saved by Khalid, Bleeding Love by Leona Lewis, Dead by Madison Beer, Morning by Marc E. Bassy","Home by Phillip Phillips, Take Me to Church by Hozier, Pills N Potions by Nicki Minaj, Someone Like You by Adele, Fix You by Coldplay, Redemption Song by Bob Marley, Let Her Go by Passenger, The Night We Met by Lord Huron, Unsteady by X Ambassadors, Say Something by A Great Big World & Christina Aguilera",3,"Someone Like You by Adele, Pills N Potions by Nicki Minaj, Home by Phillip Phillips"
turnt,"Uber Everywhere by MadeinTYO, You Got Me by G-Eazy, Swish by Mike Stud, No Type by Rae Sremmurd, I Don't Like by Chief Keef, Water by Ugly God, iSpy (feat. Lil Yachty) by KYLE, One Night by Lil Yachty, Gyalchester by Drake, This Could Be Us by Rae Sremmurd, Donald Trump by Mac Miller, HUMBLE. by Kendrick Lamar, iSpy (feat. Lil Yachty) by KYLE, Antidote by Travis Scott, Caroline by Aminé, Magnolia by Playboi Carti, Slippery (feat. Gucci Mane) by Migos, Famous by Kanye West, Audi. by Smokepurpp, Plain Jane by A$AP Ferg","Black Beatles by Rae Sremmurd, iSpy (feat. Lil Yachty) by KYLE, Broccoli (feat. Lil Yachty) by D.R.A.M., No Flex Zone by Rae Sremmurd, One Night by Lil Yachty, Playinwitme (feat. Kehlani) by KYLE, Swang by Rae Sremmurd, Minnesota by Lil Yachty, Hey Julie! (feat. Lil Yachty) by KYLE, Powerglide (feat. Juicy J) by Rae Sremmurd",3,"iSpy (feat. Lil Yachty) by KYLE, iSpy (feat. Lil Yachty) by KYLE, One Night by Lil Yachty"
Gaming,"Hero by TWIIG, No Money by Galantis, Stardust by Jay Hardway, Anything by Rodrigo Deem, Smoke by Daniel Garrick, Wasted Time by JAZ von D, Miles Away by Zomboy, Lights Out by Zomboy, Shelter by Porter Robinson & Madeon, Blackout by Pegboard Nerds, Hero by Jay Cosmic, Make up Your Mind by Martin Garrix","Electric Feel by MGMT, Midnight City by M83, Take Me Out by Franz Ferdinand, Clint Eastwood by Gorillaz, Bitter Sweet Symphony by The Verve, No Time To Die by Billie Eilish, Come Together by Gary Clark Jr. & Junkie XL, Seven Nation Army by The White Stripes, Stronger by Kanye West, Do I Wanna Know? by Arctic Monkeys",0,
cocktail,"That's All Right by Elvis Presley, Only You (And You Alone) by The Platters, Crazy by Patsy Cline, In The Still of the Night by The Five Satins, I Walk the Line by Johnny Cash, Peter Gunn by Duane Eddy, After Hours by The Velvet Underground, D'yer Mak'er by Led Zeppelin, Space Song by Beach House, Your Song by Elton John, Let's Stay Together by Al Green, I Got You (I Feel Good) by James Brown & The Famous Flames, Evil Woman by Electric Light Orchestra, Easy by Commodores, Fools Rush In by Peggy Sue","Can't Help Falling in Love by Elvis Presley, Only You (And You Alone) by The Platters, Your Song by Elton John, Come Away With Me by Norah Jones, Wonderful Tonight by Eric Clapton, Unchained Melody by The Righteous Brothers, Something by The Beatles, At Last by Etta James, Fly Me to the Moon by Frank Sinatra, L-O-V-E by Nat King Cole",2,"Only You (And You Alone) by The Platters, Your Song by Elton John"
